itemId,visits
MPE433108265,203
MPE434382765,170
MPE433853177,1034
MPE419883282,1772
MPE431714651,33
MPE438492919,1160
MPE429448587,2669
MPE439307195,36
MPE439307251,257
MPE437503507,292
MPE438828260,102
MPE439307426,29
MPE440306037,50
MPE439307206,120
MPE431446248,2242
MPE439307250,108
MPE439510012,56
MPE439307317,183
MPE439307286,267
MPE439307385,22
MPE440131689,350
MPE432990777,426
MPE440389411,158
MPE421767433,746
MPE432990779,6
MPE432439269,42
MPE431410374,72
MPE430002527,60
MPE432990781,22
MPE432202936,428
MPE428549066,284
MPE428549082,352
MPE433933924,49
MPE432291284,6
MPE432728801,68
MPE433252062,92
MPE436649728,3727
MPE427140390,81
MPE433046443,52954
